Region,Region_Name,COUNT,AREA_M2,AREA_Acres,AREA_HA,MIN,MAX,RANGE,MEAN,STD,Shape_Area M2
States,New Hampshire,26448288,23803459200,5881953.786,2380345.92,3.571823,8.152463,4.58064,5.630954,0.731335,23983031540
States,New Jersey,21483292,19334962800,4777765.983,1933496.28,5.51005,19.878923,14.368874,10.881301,1.757123,19794577065
States,New York,137660829,123894746100,30615011.24,12389474.61,4.105223,19.929228,15.824005,8.339841,1.701386,125772761462
States,Ohio,118487842,106639057800,26351044.38,10663905.78,7.542392,19.484819,11.942427,10.974095,1.503482,106991293988
States,Pennsylvania,130219213,117197291700,28960036.77,11719729.17,7.345739,19.866894,12.521155,10.266431,1.796851,117298177736
States,Rhode Island,2841248,2557123200,631877.9283,255712.32,4.651269,10.52032,5.869051,8.070674,1.259931,2838250544
States,Vermont,27552188,24796969200,6127455.074,2479696.92,4.141078,8.910993,4.769914,6.600809,0.963353,24949625877
States,Virginia,113262038,101935834200,25188854.31,10193583.42,5.084288,13.980277,8.895989,8.166051,1.118944,103515652655
States,West Virginia,69655486,62689937400,15490996.98,6268993.74,6.149346,11.499766,5.35042,8.262705,0.771958,62689825398
States,Wisconsin,160183320,144164988000,35623889.36,14416498.8,5.286287,15.703326,10.417039,9.770985,1.503715,145164873246
