Species,CL_Value,Region,Region_Name,Count_Stats,Area_M2,Min,Max,Range,Mean,STD,Sum,Lo_Count,Lo_Percent,Hi_Count,Hi_Percent,Count_Hist,Area_HA,Area_Acres
Quercus rubra,Min CL,Forest Service Wilderness Areas,Shawvers Run Wilderness,25902,23311800,3,8.5,5.5,6.50444,2.644489,168478,9398,36.28291252,16504,63.71708748,25902,2331.18,5760.462339
Quercus rubra,Min CL,Forest Service Wilderness Areas,Spice Run Wilderness,26628,23965200,3,8.5,5.5,8.458897,0.473687,225243.5,199,0.747333634,26429,99.25266637,26628,2396.52,5921.920746
Quercus rubra,Min CL,Forest Service Wilderness Areas,Stone Mountain Wilderness,14344,12909600,3,3,0,3,0,43032,14344,100,0,0,14344,1290.96,3190.026708
Quercus rubra,Min CL,Forest Service Wilderness Areas,Sturgeon River Gorge Wilderness,47171,42453900,3,3,0,3,0,141513,47171,100,0,0,47171,4245.39,10490.57096
Quercus rubra,Min CL,Forest Service Wilderness Areas,Sylvania Wilderness,25430,22887000,3,3,0,3,0,76290,25430,100,0,0,25430,2288.7,5655.492135
Quercus rubra,Min CL,Forest Service Wilderness Areas,Three Ridges Wilderness,19755,17779500,3,3,0,3,0,59265,19755,100,0,0,19755,1777.95,4393.403348
Quercus rubra,Min CL,Forest Service Wilderness Areas,Thunder Ridge Wilderness,10556,9500400,3,3,0,3,0,31668,10556,100,0,0,10556,950.04,2347.596342
Quercus rubra,Min CL,Forest Service Wilderness Areas,Whisker Lake Wilderness,20401,18360900,3,3,0,3,0,61203,20401,100,0,0,20401,1836.09,4537.070195
Quercus rubra,Min CL,Forest Service Wilderness Areas,Wild River Wilderness,47909,43118100,3,3,0,3,0,143727,47909,100,0,0,47909,4311.81,10654.6981
Quercus rubra,Min CL,States,Connecticut,7592151,6832935900,3,8.5,5.5,5.470285,2.735737,41531227.5,4182192,55.08573262,3409959,44.91426738,7592151,683293.59,1688452.626
Quercus rubra,Min CL,States,Delaware,399152,359236800,3,8.5,5.5,3.980983,2.105488,1589017.5,327959,82.16393755,71193,17.83606245,399152,35923.68,88769.20946
Quercus rubra,Min CL,States,District of Columbia,9481,8532900,3,3,0,3,0,28443,9481,100,0,0,9481,853.29,2108.522255
Quercus rubra,Min CL,States,Illinois,21464311,19317879900,3,8.5,5.5,7.142601,2.371321,153310998.5,5297390,24.67999089,16166921,75.32000911,21464311,1931787.99,4773544.713
Quercus rubra,Min CL,States,Indiana,21014042,18912637800,3,8.5,5.5,8.093619,1.438732,170079650,1552674,7.388745107,19461368,92.61125489,21014042,1891263.78,4673407.364
Quercus rubra,Min CL,States,Iowa,10573782,9516403800,3,8.5,5.5,6.939556,2.479407,73377350.5,2999963,28.37171222,7573819,71.62828778,10573782,951640.38,2351550.961
Quercus rubra,Min CL,States,Kentucky,56088794,50479914600,3,8.5,5.5,4.245929,2.302232,238149041,43382856,77.34674416,12705938,22.65325584,56088794,5047991.46,12473839.3
Quercus rubra,Min CL,States,Maine,29241085,26316976500,3,8.5,5.5,4.135686,2.226318,120931952.5,23203140,79.35115951,6037945,20.64884049,29241085,2631697.65,6503056.478
Quercus rubra,Min CL,States,Maryland,6213924,5592531600,3,8.5,5.5,5.898987,2.745961,36655856,2938636,47.29114807,3275288,52.70885193,6213924,559253.16,1381942.521
Quercus rubra,Min CL,States,Massachusetts,10471407,9424266300,3,8.5,5.5,6.741952,2.564865,70597728,3347133,31.96450105,7124274,68.03549895,10471407,942426.63,2328783.324
Quercus rubra,Min CL,States,Michigan,48897293,44007563700,3,8.5,5.5,5.078551,2.666769,248327413,30418105,62.20815741,18479188,37.79184259,48897293,4400756.37,10874489.03
Quercus rubra,Min CL,States,Minnesota,27890090,25101081000,3,8.5,5.5,5.264038,2.706721,146814488.5,16409323,58.83567604,11480767,41.16432396,27890090,2510108.1,6202602.621
Quercus rubra,Min CL,States,New Hampshire,14445498,13000948200,3,8.5,5.5,5.954634,2.742376,86017649,6685288,46.27938753,7760210,53.72061247,14445498,1300094.82,3212599.305
Quercus rubra,Min CL,States,New Jersey,3850661,3465594900,3,8.5,5.5,5.173822,2.688963,19922636.5,2328724,60.47595465,1521937,39.52404535,3850661,346559.49,856365.8278
Quercus rubra,Min CL,States,New York,56496363,50846726700,3,8.5,5.5,5.80684,2.749413,328065342,27664317,48.96654498,28832046,51.03345502,56496363,5084672.67,12564480.4
Quercus rubra,Min CL,States,Ohio,34357765,30921988500,3,8.5,5.5,8.486997,0.267113,291594237.5,81230,0.236423993,34276535,99.76357601,34357765,3092198.85,7640977.968
Quercus rubra,Min CL,States,Pennsylvania,64201105,57780994500,3,8.5,5.5,6.638865,2.602387,426222492,21724891,33.83881165,42476214,66.16118835,64201105,5778099.45,14277972.65
Quercus rubra,Min CL,States,Rhode Island,1375765,1238188500,3,8.5,5.5,5.953673,2.742447,8190854.5,636936,46.29686029,738829,53.70313971,1375765,123818.85,305962.5693
Quercus rubra,Min CL,States,Vermont,15283881,13755492900,3,8.5,5.5,3.984251,2.108229,60894814,12548759,82.10453222,2735122,17.89546778,15283881,1375549.29,3399051.073
Quercus rubra,Min CL,States,Virginia,46112430,41501187000,3,8.5,5.5,4.638693,2.515452,213901427,32373496,70.20557364,13738934,29.79442636,46112430,4150118.7,10255150.81
Quercus rubra,Min CL,States,West Virginia,51169787,46052808300,3,8.5,5.5,5.83575,2.748663,298614079,24787111,48.44091104,26382676,51.55908896,51169787,4605280.83,11379879.19
Quercus rubra,Min CL,States,Wisconsin,56889507,51200556300,3,8.5,5.5,6.443014,2.661246,366539900,21276529,37.39974228,35612978,62.60025772,56889507,5120055.63,12651913.46
Thuja occidentalis,Min CL,Class I Areas,Acadia NP,91648,82483200,3,3,0,3,0,274944,91648,100,0,0,91648,8248.32,20382.01114
